Sex	Autonomous Communities and Cities	Age	Periodo	Total
Both genders	National Total	Under 25 years of age 	2020QI	32,99
Both genders	National Total	Under 25 years of age 	2019QIV	30,51
Both genders	National Total	Under 25 years of age 	2019QIII	31,68
Both genders	National Total	Under 25 years of age 	2019QII	33,14
Both genders	National Total	Under 25 years of age 	2019QI	34,97
Both genders	National Total	Under 25 years of age 	2018QIV	33,54
Both genders	National Total	Under 25 years of age 	2018QIII	33
Both genders	National Total	Under 25 years of age 	2018QII	34,68
Both genders	National Total	Under 25 years of age 	2018QI	36,34
Both genders	National Total	Under 25 years of age 	2017QIV	37,46
Both genders	National Total	Under 25 years of age 	2017QIII	35,97
Both genders	National Total	Under 25 years of age 	2017QII	39,53
Both genders	National Total	Under 25 years of age 	2017QI	41,66
Both genders	National Total	Under 25 years of age 	2016QIV	42,92
Both genders	National Total	Under 25 years of age 	2016QIII	41,94
Both genders	National Total	Under 25 years of age 	2016QII	46,48
Both genders	National Total	Under 25 years of age 	2016QI	46,5
Both genders	National Total	Under 25 years of age 	2015QIV	46,24
Both genders	National Total	Under 25 years of age 	2015QIII	46,58
Both genders	National Total	Under 25 years of age 	2015QII	49,22
Both genders	National Total	Under 25 years of age 	2015QI	51,36
Both genders	National Total	Under 25 years of age 	2014QIV	51,8
Both genders	National Total	Under 25 years of age 	2014QIII	52,39
Both genders	National Total	Under 25 years of age 	2014QII	53,12
Both genders	National Total	Under 25 years of age 	2014QI	55,49
Both genders	National Total	Under 25 years of age 	2013QIV	54,89
Both genders	National Total	Under 25 years of age 	2013QIII	54,14
Both genders	National Total	Under 25 years of age 	2013QII	55,98
Both genders	National Total	Under 25 years of age 	2013QI	56,92
Both genders	National Total	Under 25 years of age 	2012QIV	54,83
Both genders	National Total	Under 25 years of age 	2012QIII	52,01
Both genders	National Total	Under 25 years of age 	2012QII	53,04
Both genders	National Total	Under 25 years of age 	2012QI	51,67
Both genders	National Total	Under 25 years of age 	2011QIV	48,14
Both genders	National Total	Under 25 years of age 	2011QIII	45,58
Both genders	National Total	Under 25 years of age 	2011QII	45,87
Both genders	National Total	Under 25 years of age 	2011QI	45,3
Both genders	National Total	Under 25 years of age 	2010QIV	42,73
Both genders	National Total	Under 25 years of age 	2010QIII	40,56
Both genders	National Total	Under 25 years of age 	2010QII	41,97
Both genders	National Total	Under 25 years of age 	2010QI	40,73
Both genders	National Total	Under 25 years of age 	2009QIV	38,81
Both genders	National Total	Under 25 years of age 	2009QIII	38,57
Both genders	National Total	Under 25 years of age 	2009QII	38,06
Both genders	National Total	Under 25 years of age 	2009QI	35,54
Both genders	National Total	Under 25 years of age 	2008QIV	28,97
Both genders	National Total	Under 25 years of age 	2008QIII	24,18
Both genders	National Total	Under 25 years of age 	2008QII	23,62
Both genders	National Total	Under 25 years of age 	2008QI	21,08
Both genders	National Total	Under 25 years of age 	2007QIV	18,66
Both genders	National Total	Under 25 years of age 	2007QIII	17,87
Both genders	National Total	Under 25 years of age 	2007QII	18,12
Both genders	National Total	Under 25 years of age 	2007QI	17,72
Both genders	National Total	Under 25 years of age 	2006QIV	17,81
Both genders	National Total	Under 25 years of age 	2006QIII	16,9
Both genders	National Total	Under 25 years of age 	2006QII	18,2
Both genders	National Total	Under 25 years of age 	2006QI	18,71
Both genders	National Total	Under 25 years of age 	2005QIV	18,62
Both genders	National Total	Under 25 years of age 	2005QIII	18,01
Both genders	National Total	Under 25 years of age 	2005QII	20,29
Both genders	National Total	Under 25 years of age 	2005QI	21,69
Both genders	National Total	Under 25 years of age 	2004QIV	21,27
Both genders	National Total	Under 25 years of age 	2004QIII	21,63
Both genders	National Total	Under 25 years of age 	2004QII	22,46
Both genders	National Total	Under 25 years of age 	2004QI	22,65
Both genders	National Total	Under 25 years of age 	2003QIV	22,94
Both genders	National Total	Under 25 years of age 	2003QIII	22,19
Both genders	National Total	Under 25 years of age 	2003QII	22,28
Both genders	National Total	Under 25 years of age 	2003QI	23,39
Both genders	National Total	Under 25 years of age 	2002QIV	23,16
Both genders	National Total	Under 25 years of age 	2002QIII	22,05
Both genders	National Total	Under 25 years of age 	2002QII	21,5
Both genders	National Total	Under 25 years of age 	2002QI	22,08
Both genders	National Total	From 25 years of age and over	2026QI	9,77
Both genders	National Total	From 25 years of age and over	2025QIV	8,93
Both genders	National Total	From 25 years of age and over	2025QIII	9,16
Both genders	National Total	From 25 years of age and over	2025QII	9,15
Both genders	National Total	From 25 years of age and over	2025QI	10,23
Both genders	National Total	From 25 years of age and over	2024QIV	9,52
Both genders	National Total	From 25 years of age and over	2024QIII	9,86
Both genders	National Total	From 25 years of age and over	2024QII	10,08
Both genders	National Total	From 25 years of age and over	2024QI	11,14
Both genders	National Total	From 25 years of age and over	2023QIV	10,55
Both genders	National Total	From 25 years of age and over	2023QIII	10,54
Both genders	National Total	From 25 years of age and over	2023QII	10,44
Both genders	National Total	From 25 years of age and over	2023QI	12,21
Both genders	National Total	From 25 years of age and over	2022QIV	11,85
Both genders	National Total	From 25 years of age and over	2022QIII	11,34
Both genders	National Total	From 25 years of age and over	2022QII	11,46
Both genders	National Total	From 25 years of age and over	2022QI	12,61
Both genders	National Total	From 25 years of age and over	2021QIV	12,27
Both genders	National Total	From 25 years of age and over	2021QIII	13,42
Both genders	National Total	From 25 years of age and over	2021QII	13,77
Both genders	National Total	From 25 years of age and over	2021QI	14,64
Both genders	National Total	From 25 years of age and over	2020QIV	14,55
Both genders	National Total	From 25 years of age and over	2020QIII	14,51
Both genders	National Total	From 25 years of age and over	2020QII	13,81
Both genders	National Total	From 25 years of age and over	2020QI	13,14
Both genders	National Total	From 25 years of age and over	2019QIV	12,61
Both genders	National Total	From 25 years of age and over	2019QIII	12,55
Both genders	National Total	From 25 years of age and over	2019QII	12,67
Both genders	National Total	From 25 years of age and over	2019QI	13,31
Both genders	National Total	From 25 years of age and over	2018QIV	13,11
Both genders	National Total	From 25 years of age and over	2018QIII	13,16
Both genders	National Total	From 25 years of age and over	2018QII	13,91
Both genders	National Total	From 25 years of age and over	2018QI	15,44
Both genders	National Total	From 25 years of age and over	2017QIV	15,08
Both genders	National Total	From 25 years of age and over	2017QIII	14,89
Both genders	National Total	From 25 years of age and over	2017QII	15,67
Both genders	National Total	From 25 years of age and over	2017QI	17,22
Both genders	National Total	From 25 years of age and over	2016QIV	17
Both genders	National Total	From 25 years of age and over	2016QIII	17,24
Both genders	National Total	From 25 years of age and over	2016QII	18,15
Both genders	National Total	From 25 years of age and over	2016QI	19,28
